issue,title,url,independent,category,status,evidence,comment_count,current_capability,rationale,needed,demonstrated_modelsan_detection
2248,"Questions regarding FluxTubes, HysteresisModelComparison",https://github.com/modelica/ModelicaStandardLibrary/issues/2248,True,NUMERIC,Possible symptom coverage only,Issue/discussion capability assessment; no execution verdict,3,Domain/Numeric/Solver/AssertSan may observe a reached failure; no executed issue-specific hit is established here.,Flux/state scaling can impair solver accuracy; need normalized residuals and Jacobian conditioning rather than a sign/range heuristic.,"F6: scaled residual/rank/conditioning, progress budgets and high-precision error oracles.",False
2259,What is the purpose of Modelica.Utilities.Files.list?,https://github.com/modelica/ModelicaStandardLibrary/issues/2259,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,4,None for the requested editorial/graphical change.,Files.list purpose/API explanation is needed before defining a failure criterion.,"Documentation, diagram, link and source-style validation.",False
2302,Use consistent units in Modelica.Electrical.Spice3,https://github.com/modelica/ModelicaStandardLibrary/issues/2302,True,UNIT,Partial dimensional capability,Issue/discussion capability assessment; no execution verdict,4,DimensionSan can flag known incompatible additive/relational units; this row has no demonstrated hit.,"Spice3 unit consistency spans declarations and equations; current DimensionSan has incomplete call, power and assignment coverage.","F7: unit propagation through bindings, calls, powers and quantity/conversion metadata.",False
2333,Cleaning up multiple Release notes,https://github.com/modelica/ModelicaStandardLibrary/issues/2333,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,2,None for the requested editorial/graphical change.,Release-note cleanup is editorial consistency work.,"Documentation, diagram, link and source-style validation.",False
2346,Remove transparency from group images,https://github.com/modelica/ModelicaStandardLibrary/issues/2346,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,5,None for the requested editorial/graphical change.,Image transparency is graphical asset work.,"Documentation, diagram, link and source-style validation.",False
2347,Missing comments and units for variables in Modelica.Electrical.Analog.Semiconductors.Thyristor,https://github.com/modelica/ModelicaStandardLibrary/issues/2347,True,UNIT,Partial dimensional capability,Issue/discussion capability assessment; no execution verdict,2,DimensionSan can flag known incompatible additive/relational units; this row has no demonstrated hit.,Missing Thyristor units/comments require source declaration coverage and dimensional contracts; unknown units are not detected mismatches.,"F7: unit propagation through bindings, calls, powers and quantity/conversion metadata.",False
2348,Unused parameter IDRM (for the saturation current) in Modelica.Electrical.Analog.Semiconductors.Thyristor,https://github.com/modelica/ModelicaStandardLibrary/issues/2348,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,1,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,Unused IDRM parameter needs dependency/influence testing against the specified saturation-current behavior.,"F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
2350,Reference result for Modelica.Electrical.Analog.Examples.AD_DA_conversion lacks periodicity,https://github.com/modelica/ModelicaStandardLibrary/issues/2350,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,16,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",Nonperiodic AD_DA reference needs a discrete-time/steady-period oracle; the stored reference cannot automatically be treated as ground truth.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
2389,Development of a generic and portable FMU import block,https://github.com/modelica/ModelicaStandardLibrary/issues/2389,True,EXTERNAL,External/platform scope,Issue/discussion capability assessment; no execution verdict,12,"Modelica numerical sanitizers do not validate platform, file, C ABI or FMI protocols.",A portable FMU import block requires FMI lifecycle and platform integration capabilities.,"F9: platform CI, C/ABI/resource instrumentation, file and FMI contract tests.",False
2413,Simpler Modelica.Fluid.Machines.ControlledPump,https://github.com/modelica/ModelicaStandardLibrary/issues/2413,True,NUMERIC,Possible symptom coverage only,Issue/discussion capability assessment; no execution verdict,0,Domain/Numeric/Solver/AssertSan may observe a reached failure; no executed issue-specific hit is established here.,Unused pump-characteristic calculations can add difficult nonlinear equations; require dependency slicing and legal-parameter perturbations.,"F6: scaled residual/rank/conditioning, progress budgets and high-precision error oracles.",False
2431,Bad class names in Modelica.Mechanics,https://github.com/modelica/ModelicaStandardLibrary/issues/2431,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,0,None for the requested editorial/graphical change.,Mechanics class names need naming policy and conversion validation.,"Documentation, diagram, link and source-style validation.",False
2455,Complex numbers (and other classes) do no show documentation string in Variables Browser,https://github.com/modelica/ModelicaStandardLibrary/issues/2455,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,4,None for the requested editorial/graphical change.,Missing browser documentation strings require frontend/UI metadata checks.,"Documentation, diagram, link and source-style validation.",False
2460,Shorten names of sensor models,https://github.com/modelica/ModelicaStandardLibrary/issues/2460,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,6,None for the requested editorial/graphical change.,Shorter sensor names are an API naming/conversion proposal.,"Documentation, diagram, link and source-style validation.",False
2481,"Discrepances in position, size and color of connectors' names",https://github.com/modelica/ModelicaStandardLibrary/issues/2481,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,1,None for the requested editorial/graphical change.,Connector-label placement/color discrepancies need diagram/style validation.,"Documentation, diagram, link and source-style validation.",False
2482,MultiBody models have a problem with StateSelect.always/never,https://github.com/modelica/ModelicaStandardLibrary/issues/2482,True,FRONTEND,Source/compiler analysis needed,Issue/discussion capability assessment; no execution verdict,2,Flattened numerical sanitizers do not implement these language/binding/effect checks.,StateSelect.always/never constraints need compiler/state-selection validation; flattened structural matching is not the same check.,"F2/F3: source-aware binding, definite assignment, effects, local balance and compiler support.",False
2485,Rename parameters of Modelica.Mechanics.MultiBody.Visualizers.Plane,https://github.com/modelica/ModelicaStandardLibrary/issues/2485,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,5,None for the requested editorial/graphical change.,Plane parameter renaming requires API migration checks.,"Documentation, diagram, link and source-style validation.",False
2512,Questionable initialScale in some Blocks,https://github.com/modelica/ModelicaStandardLibrary/issues/2512,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,3,None for the requested editorial/graphical change.,"initialScale controls icon size, not numerical initialization; this is graphical consistency work.","Documentation, diagram, link and source-style validation.",False
2519,Including figures in HTML documentation,https://github.com/modelica/ModelicaStandardLibrary/issues/2519,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,13,None for the requested editorial/graphical change.,HTML figure inclusion needs documentation rendering/link validation.,"Documentation, diagram, link and source-style validation.",False
2534,Replace Modelica.Mechanics.MultiBody.Interfaces.PartialAbsoluteSensor,https://github.com/modelica/ModelicaStandardLibrary/issues/2534,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,5,No detection claim: requested behavior/API must first be specified.,Replacing PartialAbsoluteSensor is interface/refactoring work.,"API design, compatibility and targeted regression tests.",False
2554,FluidHeatFlow: Enhancement of piston model and pump model,https://github.com/modelica/ModelicaStandardLibrary/issues/2554,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,2,No detection claim: requested behavior/API must first be specified.,Piston/pump enhancements need explicitly specified additional physical behavior.,"API design, compatibility and targeted regression tests.",False
2556,Redesign FreeMotionScalarInit to not influence dynamic simulation when no states are selected,https://github.com/modelica/ModelicaStandardLibrary/issues/2556,True,FRONTEND,Source/compiler analysis needed,Issue/discussion capability assessment; no execution verdict,5,Flattened numerical sanitizers do not implement these language/binding/effect checks.,FreeMotionScalarInit constraints should not affect dynamics when states are not selected; preserve state-selection semantics through lowering.,"F2/F3: source-aware binding, definite assignment, effects, local balance and compiler support.",False
2574,Potentially illegal conditional components in Fluid.Vessels,https://github.com/modelica/ModelicaStandardLibrary/issues/2574,True,SHAPE,Shape analysis needed,Issue/discussion capability assessment; no execution verdict,4,"DimensionSan checks SI units, not array dimensions. No interprocedural extent/bounds detector.",Conditional Fluid components and zero port arrays require language elaboration/array-shape checks before numerical analysis.,"F2: shape contracts, reduced/full representations and runtime bounds provenance.",False
2603,New library for generation of images in documentation,https://github.com/modelica/ModelicaStandardLibrary/issues/2603,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,6,None for the requested editorial/graphical change.,Generating documentation images requires a rendering/tooling workflow.,"Documentation, diagram, link and source-style validation.",False
2609,Clarify purpose of protected top-level connectors,https://github.com/modelica/ModelicaStandardLibrary/issues/2609,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,0,None for the requested editorial/graphical change.,Protected top-level connector purpose needs source/API documentation clarification.,"Documentation, diagram, link and source-style validation.",False
2629,Proper location of adaptors,https://github.com/modelica/ModelicaStandardLibrary/issues/2629,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,8,No detection claim: requested behavior/API must first be specified.,Adaptor package location is library organization work.,"API design, compatibility and targeted regression tests.",False
2633,Missing variable comments of Modelica.Electrical.Analog.Basic.OpAmpDetailed,https://github.com/modelica/ModelicaStandardLibrary/issues/2633,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,2,None for the requested editorial/graphical change.,OpAmpDetailed missing variable comments need documentation completeness checks.,"Documentation, diagram, link and source-style validation.",False
2672,Abrupt adaptor,https://github.com/modelica/ModelicaStandardLibrary/issues/2672,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,4,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,Reverse-flow abrupt-adaptor failure is tied in comments to always-negative pressure-loss values; test both flow directions against the intended loss law.,"F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
2680,Missing test / example models for relative sensors of FluidHeatFlow,https://github.com/modelica/ModelicaStandardLibrary/issues/2680,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,1,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",FluidHeatFlow relative-sensor examples are missing; add known-signal test fixtures.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
2681,"Missing test / example models for RelTemperatureSensor, HeatFlowSensor and ConditionalFixedHeatFlowSensor of HeatTransfer",https://github.com/modelica/ModelicaStandardLibrary/issues/2681,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,1,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",HeatTransfer sensor test coverage is missing; use known thermal-network fixtures.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
2694,Add more spelling terms,https://github.com/modelica/ModelicaStandardLibrary/issues/2694,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,8,None for the requested editorial/graphical change.,Spelling dictionary additions need text/style tooling.,"Documentation, diagram, link and source-style validation.",False
2695,Sorting PNG files (figures) in Resources/Images,https://github.com/modelica/ModelicaStandardLibrary/issues/2695,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,6,None for the requested editorial/graphical change.,Image file organization is asset maintenance.,"Documentation, diagram, link and source-style validation.",False
2717,Poor scaling of curve parameter s in Modelica.Fluid.Interfaces.PartialLumpedVolume,https://github.com/modelica/ModelicaStandardLibrary/issues/2717,True,NUMERIC,Possible symptom coverage only,Issue/discussion capability assessment; no execution verdict,6,Domain/Numeric/Solver/AssertSan may observe a reached failure; no executed issue-specific hit is established here.,Lumped-volume curve parameter scaling and zero-volume limits need scaled residual/Jacobian diagnostics and legal boundary tests.,"F6: scaled residual/rank/conditioning, progress budgets and high-precision error oracles.",False
2749,Use ellipses in documentation,https://github.com/modelica/ModelicaStandardLibrary/issues/2749,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,4,None for the requested editorial/graphical change.,Ellipsis typography belongs to documentation style checks.,"Documentation, diagram, link and source-style validation.",False
2751,Use non-breaking space in documentation,https://github.com/modelica/ModelicaStandardLibrary/issues/2751,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,0,None for the requested editorial/graphical change.,Nonbreaking spaces belong to documentation rendering/style checks.,"Documentation, diagram, link and source-style validation.",False
2766,Issues regarding DC machines,https://github.com/modelica/ModelicaStandardLibrary/issues/2766,True,UNRESOLVED,Not established,Issue/discussion capability assessment; no execution verdict,2,No defensible defect/detectability verdict from the current evidence; do not count as clean or missed.,DC-machine usage/connection assumptions must be resolved before blaming the component; an out-of-contract setup is not an independent bug.,Resolve the stated contract/version/reproducer uncertainty; then choose an oracle.,False
2776,Modelica.Mechanics.MultiBody.Frames.from_nxz calculation of w,https://github.com/modelica/ModelicaStandardLibrary/issues/2776,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,14,No detection claim: requested behavior/API must first be specified.,"from_nxz constructs a fixed orientation, for which zero angular velocity is intentional; a moving-frame API is a separate feature.","API design, compatibility and targeted regression tests.",False
2781,Missing test for Modelica.Media.IdealGases.Common.MixtureGasNasa.mixtureViscosityChung,https://github.com/modelica/ModelicaStandardLibrary/issues/2781,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,0,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",mixtureViscosityChung needs a reference-data/function test; absent coverage is not an observed numerical defect.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
2795,Spice3: documentation for MOSFET seems wrong,https://github.com/modelica/ModelicaStandardLibrary/issues/2795,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,1,None for the requested editorial/graphical change.,MOSFET documentation needs comparison to the implemented device equations and cited model.,"Documentation, diagram, link and source-style validation.",False
2815,Moist air at very low temperatures,https://github.com/modelica/ModelicaStandardLibrary/issues/2815,True,NUMERIC,Possible symptom coverage only,Issue/discussion capability assessment; no execution verdict,6,Domain/Numeric/Solver/AssertSan may observe a reached failure; no executed issue-specific hit is established here.,Low-temperature moist-air logarithm failures can occur on internal solver trial states; DomainSan symptoms must retain trial/accepted-state provenance.,"F6: scaled residual/rank/conditioning, progress budgets and high-precision error oracles.",False
2831,Equal-block missing in Modelica.Blocks.Logical,https://github.com/modelica/ModelicaStandardLibrary/issues/2831,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,1,No detection claim: requested behavior/API must first be specified.,An Equal logical block is a missing API feature.,"API design, compatibility and targeted regression tests.",False
2836,Update PRNGs in ModelicaRandom.c?,https://github.com/modelica/ModelicaStandardLibrary/issues/2836,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,4,No detection claim: requested behavior/API must first be specified.,PRNG replacement requires reproducibility and statistical-quality criteria; generic trace determinism is insufficient.,"API design, compatibility and targeted regression tests.",False
2907,Clarification of some rules within UsersGuide.Conventions,https://github.com/modelica/ModelicaStandardLibrary/issues/2907,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,1,None for the requested editorial/graphical change.,UsersGuide convention rules need editorial clarification.,"Documentation, diagram, link and source-style validation.",False
2913,Electrical.Spice3 - Complete model compatibility to Berkeley Spice3,https://github.com/modelica/ModelicaStandardLibrary/issues/2913,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,0,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,"Berkeley Spice3 compatibility requires a versioned external behavioral corpus, not universal numerical safety rules.","F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
2921,Missing derivative annotation pointing to MixtureGasNasa.h_TX_der?,https://github.com/modelica/ModelicaStandardLibrary/issues/2921,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,7,No detection claim: requested behavior/API must first be specified.,Derivative annotations may help tools but can be redundant with automatic differentiation; missing annotation alone is not a wrong-result bug.,"API design, compatibility and targeted regression tests.",False
2931,Proposal: Styling Guidelines of Modelica Code and Variables,https://github.com/modelica/ModelicaStandardLibrary/issues/2931,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,2,None for the requested editorial/graphical change.,Code/variable styling guidelines need source/style tooling.,"Documentation, diagram, link and source-style validation.",False
2935,Friction model in Modelica.Thermal.FluidHeatFlow,https://github.com/modelica/ModelicaStandardLibrary/issues/2935,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,0,No detection claim: requested behavior/API must first be specified.,Replaceable friction and geometric/Reynolds formulations extend FluidHeatFlow modeling flexibility.,"API design, compatibility and targeted regression tests.",False
2938,Add flexible beam component to the MultiBody library,https://github.com/modelica/ModelicaStandardLibrary/issues/2938,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,2,No detection claim: requested behavior/API must first be specified.,Flexible beam is a requested additional physical model.,"API design, compatibility and targeted regression tests.",False
2941,Initialization of bearingFriction.sa in RobotR3.oneAxis,https://github.com/modelica/ModelicaStandardLibrary/issues/2941,True,INIT,Possible initialization symptom only,Issue/discussion capability assessment; no execution verdict,5,"InitSan/InitStaticSan/StructureSan and SolverSan can expose candidates or failures, not prove the reported root cause.",bearingFriction branch guesses can make initialization singular; need branch-aware initialization and actual rank/residual evidence.,"F6: branch/homotopy-aware initialization with numerical rank, binding and residual evidence.",False
2946,Revise documentation on (and possibly implementation of) StateSelection,https://github.com/modelica/ModelicaStandardLibrary/issues/2946,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,2,None for the requested editorial/graphical change.,StateSelection guidance needs alignment with actual language/compiler behavior.,"Documentation, diagram, link and source-style validation.",False
2964,Triac model,https://github.com/modelica/ModelicaStandardLibrary/issues/2964,True,UNRESOLVED,Not established,Issue/discussion capability assessment; no execution verdict,5,No defensible defect/detectability verdict from the current evidence; do not count as clean or missed.,Triac idealization and firing behavior remain a model-contract question; require an agreed switching truth table before judging results.,Resolve the stated contract/version/reproducer uncertainty; then choose an oracle.,False
2969,NaN issue in model for kc_roundTube,https://github.com/modelica/ModelicaStandardLibrary/issues/2969,True,NUMERIC,Possible symptom coverage only,Issue/discussion capability assessment; no execution verdict,16,Domain/Numeric/Solver/AssertSan may observe a reached failure; no executed issue-specific hit is established here.,"kc_roundTube NaN discussion evolves from log/Re hypotheses to uninitialized outputs; use version-specific reproduction, not the earliest explanation alone.","F6: scaled residual/rank/conditioning, progress budgets and high-precision error oracles.",False
2990,Missing User's Guides,https://github.com/modelica/ModelicaStandardLibrary/issues/2990,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,6,None for the requested editorial/graphical change.,Missing user guides require documentation coverage and authorship.,"Documentation, diagram, link and source-style validation.",False
3060,Code / Formatting guidelines checker,https://github.com/modelica/ModelicaStandardLibrary/issues/3060,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,8,None for the requested editorial/graphical change.,Formatting checker is a source lint tool request.,"Documentation, diagram, link and source-style validation.",False
3098,Nonphysical pump behavior vs gravity change,https://github.com/modelica/ModelicaStandardLibrary/issues/3098,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,5,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,Gravity-dependent pump behavior needs a metamorphic gravity/head contract with boundary conditions and physical reference held consistent.,"F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
3122,Possibly switch Modelica documentation from HTML to Markdown,https://github.com/modelica/ModelicaStandardLibrary/issues/3122,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,8,None for the requested editorial/graphical change.,Markdown versus HTML is an authoring/rendering workflow decision.,"Documentation, diagram, link and source-style validation.",False
3124,Possible discrepancy between parameter values in reference book vs function implementation in Modelica.Fluid.Dissipation.PressureLoss.Bend.dp_edgedOverall_DP,https://github.com/modelica/ModelicaStandardLibrary/issues/3124,True,UNRESOLVED,Not established,Issue/discussion capability assessment; no execution verdict,9,No defensible defect/detectability verdict from the current evidence; do not count as clean or missed.,Bend-loss coefficients allegedly differ from a handbook; determine the matching correlation/regime/reference before asserting a defect.,Resolve the stated contract/version/reproducer uncertainty; then choose an oracle.,False
3125,Connector appearance and naming harmonisation in MSL 4.0.0,https://github.com/modelica/ModelicaStandardLibrary/issues/3125,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,2,None for the requested editorial/graphical change.,Connector appearance/naming harmonization requires graphical and API style checks.,"Documentation, diagram, link and source-style validation.",False
3140,Initialization of BranchingDynamicPipes with homotopy methods failing,https://github.com/modelica/ModelicaStandardLibrary/issues/3140,True,INIT,Possible initialization symptom only,Issue/discussion capability assessment; no execution verdict,7,"InitSan/InitStaticSan/StructureSan and SolverSan can expose candidates or failures, not prove the reported root cause.",BranchingDynamicPipes homotopy failure needs continuation and initialization conditioning diagnostics; solver/assertion failures alone do not locate the cause.,"F6: branch/homotopy-aware initialization with numerical rank, binding and residual evidence.",False
3145,Change name to loadResource,https://github.com/modelica/ModelicaStandardLibrary/issues/3145,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,11,None for the requested editorial/graphical change.,loadResource naming is API naming/conversion work.,"Documentation, diagram, link and source-style validation.",False
3158,FixedRotation uses the non SI unit Angle_deg,https://github.com/modelica/ModelicaStandardLibrary/issues/3158,True,UNIT,Partial dimensional capability,Issue/discussion capability assessment; no execution verdict,5,DimensionSan can flag known incompatible additive/relational units; this row has no demonstrated hit.,Angle_deg versus SI API refactoring requires conversion semantics and compatibility; degrees are not inherently invalid units.,"F7: unit propagation through bindings, calls, powers and quantity/conversion metadata.",False
3168,Missing concept for handling the initial conditions of capacitances,https://github.com/modelica/ModelicaStandardLibrary/issues/3168,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,4,No detection claim: requested behavior/API must first be specified.,Capacitance initial-condition handling is an API/convention proposal; test agreed semantics after the interface is specified.,"API design, compatibility and targeted regression tests.",False
3241,Reference angle of Magnetic.QuasiStatic.FundamentalWave,https://github.com/modelica/ModelicaStandardLibrary/issues/3241,True,INIT,Possible initialization symptom only,Issue/discussion capability assessment; no execution verdict,0,"InitSan/InitStaticSan/StructureSan and SolverSan can expose candidates or failures, not prove the reported root cause.",Stator/rotor reference-angle constraints require phase-aware initialization consistency; structural warnings alone may not establish numerical rank.,"F6: branch/homotopy-aware initialization with numerical rank, binding and residual evidence.",False
3305,Naming of analog sources,https://github.com/modelica/ModelicaStandardLibrary/issues/3305,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,2,None for the requested editorial/graphical change.,Analog-source names require naming convention review.,"Documentation, diagram, link and source-style validation.",False
3359,Further improvements of FluxTubes,https://github.com/modelica/ModelicaStandardLibrary/issues/3359,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,0,No detection claim: requested behavior/API must first be specified.,FluxTubes improvements are a broad development request; evaluate concrete subchanges separately.,"API design, compatibility and targeted regression tests.",False
3362,Rename base classes with support flange,https://github.com/modelica/ModelicaStandardLibrary/issues/3362,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,8,None for the requested editorial/graphical change.,Support-flange base-class names require API naming and migration checks.,"Documentation, diagram, link and source-style validation.",False
3374,Replace StateGraph by StateGraph2?,https://github.com/modelica/ModelicaStandardLibrary/issues/3374,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,8,No detection claim: requested behavior/API must first be specified.,StateGraph2 replacement is an architecture/API migration decision with semantic regression obligations.,"API design, compatibility and targeted regression tests.",False
3387,Use real enumeration in e.g. Modelica.Mechanics.Rotational.Interfaces.PartialFriction!,https://github.com/modelica/ModelicaStandardLibrary/issues/3387,True,FRONTEND,Source/compiler analysis needed,Issue/discussion capability assessment; no execution verdict,4,Flattened numerical sanitizers do not implement these language/binding/effect checks.,Replacing integer modes with enumerations improves source typing/API; use conversion and elaboration tests.,"F2/F3: source-aware binding, definite assignment, effects, local balance and compiler support.",False
3417,Unnecessary event generation in Modelica.Electrical.Analog.Examples.OpAmps.SignalGenerator,https://github.com/modelica/ModelicaStandardLibrary/issues/3417,True,NUMERIC,Possible symptom coverage only,Issue/discussion capability assessment; no execution verdict,1,Domain/Numeric/Solver/AssertSan may observe a reached failure; no executed issue-specific hit is established here.,Unnecessary events in SignalGenerator are primarily a performance concern; need event-cost profiling and equivalent-trace checks.,"F6: scaled residual/rank/conditioning, progress budgets and high-precision error oracles.",False
3425,Proposal to split Modelica.Blocks into single files,https://github.com/modelica/ModelicaStandardLibrary/issues/3425,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,4,No detection claim: requested behavior/API must first be specified.,Splitting Blocks into files is source organization work.,"API design, compatibility and targeted regression tests.",False
3430,Dissipation library contains Icon classes without icon definitions,https://github.com/modelica/ModelicaStandardLibrary/issues/3430,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,0,None for the requested editorial/graphical change.,Empty icon classes need icon/diagram metadata validation.,"Documentation, diagram, link and source-style validation.",False
3460,Delay blocks do not belong to Blocks.Nonlinear,https://github.com/modelica/ModelicaStandardLibrary/issues/3460,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,7,None for the requested editorial/graphical change.,Delay-block package placement is categorization/API organization.,"Documentation, diagram, link and source-style validation.",False
3477,Reference trajectories of chaotic systems should be limited to a short interval,https://github.com/modelica/ModelicaStandardLibrary/issues/3477,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,1,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",Chaotic systems need shorter comparison horizons or statistical/invariant checks; long-time pointwise divergence is not sufficient defect evidence.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
3481,Question concerning the triple point of water,https://github.com/modelica/ModelicaStandardLibrary/issues/3481,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,1,No detection claim: requested behavior/API must first be specified.,Solid/ice behavior at the water triple point is outside the supported medium model; extending phase support is a feature request.,"API design, compatibility and targeted regression tests.",False
3545,Use unbounded=true attribute in mechanical interfaces?,https://github.com/modelica/ModelicaStandardLibrary/issues/3545,True,NUMERIC,Possible symptom coverage only,Issue/discussion capability assessment; no execution verdict,4,Domain/Numeric/Solver/AssertSan may observe a reached failure; no executed issue-specific hit is established here.,Unbounded angle metadata changes error scaling; accuracy/solver-cost tradeoffs need explicit tolerance experiments.,"F6: scaled residual/rank/conditioning, progress budgets and high-precision error oracles.",False
3546,default value for from_dp switch in PartialGenericPipeFlow (Modelica.Fluid),https://github.com/modelica/ModelicaStandardLibrary/issues/3546,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,0,No detection claim: requested behavior/API must first be specified.,Changing from_dp defaults targets nonlinear-system complexity; validate performance and physical equivalence rather than assume a numerical bug.,"API design, compatibility and targeted regression tests.",False
3557,"Request for one-sided spring, which would act as wire",https://github.com/modelica/ModelicaStandardLibrary/issues/3557,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,8,No detection claim: requested behavior/API must first be specified.,A wire-like one-sided spring is a new constitutive model requiring a unilateral-force contract.,"API design, compatibility and targeted regression tests.",False
3561,Keyword highlighting in code segments,https://github.com/modelica/ModelicaStandardLibrary/issues/3561,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,0,None for the requested editorial/graphical change.,Syntax highlighting is documentation rendering work.,"Documentation, diagram, link and source-style validation.",False
